Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.0837405,0.0135616,0.00408956
1,0.122807,0,0
2,0.129166,0,0
3,0.122878,0,0
4,0.122851,0,0
5,0.123982,0,0
6,0.123887,0,0
7,0.122857,0,0
8,0.122533,0,0
9,0.122709,0,0
10,0.123035,0,0
11,0.122609,0,0
12,0.123157,0,0
13,0.122846,0,0
14,0.122824,0,0
15,0.122911,0,0
16,0.115487,0,0
17,0.106171,0,0
18,0.0978422,0,0
19,0.0912609,0,0
20,0.0857036,0,0
21,0.0850636,0,0
22,0.0887996,0,0
23,0.0850816,0,0
24,0.0836838,0,0
25,0.0839463,0,0
26,0.0837065,0,0
27,0.0838412,0,0
28,0.0845178,0,0
29,0.0833012,0,0
30,0.0836512,0,0
31,0.0839891,0,0
32,0.0835562,0,0
33,0.0838507,0,0
34,0.083368,0,0
35,0.0836749,0,0
36,0.0837253,0,0
37,0.0837407,0,0
38,0.0841572,0,0
39,0.0832481,0,0
40,0.0839223,0,0
41,0.083694,0,0
42,0.0837002,0,0
43,0.083541,0,0
44,0.0841136,0,0
45,0.0835039,0,0
46,0.0837879,0,0
47,0.0841051,0,0
48,0.0832305,0,0
49,0.0835618,0,0
50,0.0834804,0,0
51,0.0836524,0,0
52,0.0834759,0,0
53,0.0835257,0,0
54,0.0842933,0,0
55,0.0843329,0,0
56,0.0834645,0,0
57,0.0836325,0,0
58,0.0835594,0,0
59,0.0842877,0,0
60,0.0833446,0,0
61,0.0838678,0,0
62,0.0840622,0,0
63,0.08349,0,0
64,0.0835801,0,0
65,0.0835404,0,0
66,0.083655,0,0
67,0.0835906,0,0
68,0.0838443,0,0
69,0.0835979,0,0
70,0.0838436,0,0
71,0.0835198,0,0
72,0.0836245,0,0
73,0.0835658,0,0
74,0.0837182,0,0
75,0.083553,0,0
76,0.0835108,0,0
77,0.0837183,0,0
78,0.0839088,0,0
79,0.0833915,0,0
80,0.0837888,0,0
81,0.0836732,0,0
82,0.0839057,0,0
83,0.0835399,0,0
84,0.0836952,0,0
85,0.0836179,0,0
86,0.0836541,0,0
87,0.0835259,0,0
88,0.0836495,0,0
89,0.0836468,0,0
90,0.0836924,0,0
91,0.0834446,0,0
92,0.0837905,0,0
93,0.0836303,0,0
94,0.0838429,0,0
95,0.0846007,0,0
96,0.0833571,0,0
97,0.0836485,0,0
98,0.0842758,0,0
99,0.0830233,0,0
100,0.0832608,0.0130616,0.00468087
101,0.0833353,0,0
102,0.083901,0,0
103,0.0836306,0,0
104,0.0838328,0,0
105,0.0834959,0,0
106,0.0838559,0,0
107,0.0835425,0,0
108,0.0840081,0,0
109,0.0832628,0,0
110,0.083686,0,0
111,0.0835457,0,0
112,0.0837649,0,0
113,0.0837544,0,0
114,0.083466,0,0
115,0.0836908,0,0
116,0.0842538,0,0
117,0.0831192,0,0
118,0.0841134,0,0
119,0.0835339,0,0
120,0.0840713,0,0
121,0.0833332,0,0
122,0.0840439,0,0
123,0.083625,0,0
124,0.0834655,0,0
125,0.0835869,0,0
126,0.0838178,0,0
127,0.0836207,0,0
128,0.0836584,0,0
129,0.0838593,0,0
130,0.0835671,0,0
131,0.0837479,0,0
132,0.0837464,0,0
133,0.0835781,0,0
134,0.083712,0,0
135,0.0837392,0,0
136,0.0838111,0,0
137,0.0836615,0,0
138,0.0836409,0,0
139,0.0837245,0,0
140,0.0837284,0,0
141,0.0836399,0,0
142,0.0837103,0,0
143,0.0839342,0,0
144,0.0836184,0,0
145,0.0835363,0,0
146,0.0835802,0,0
147,0.0844395,0,0
148,0.084303,0,0
149,0.0834777,0,0
150,0.0836556,0,0
151,0.0838733,0,0
152,0.0836037,0,0
153,0.0835614,0,0
154,0.0841942,0,0
155,0.083458,0,0
156,0.0836521,0,0
157,0.0836589,0,0
158,0.0841717,0,0
159,0.0833384,0,0
160,0.0835783,0,0
161,0.0835671,0,0
162,0.0835509,0,0
163,0.0837279,0,0
164,0.0835866,0,0
165,0.0836809,0,0
166,0.0836488,0,0
167,0.083615,0,0
168,0.0835841,0,0
169,0.0836682,0,0
170,0.0836828,0,0
171,0.0835578,0,0
172,0.0837101,0,0
173,0.0836575,0,0
174,0.0833287,0,0
175,0.0835539,0,0
176,0.0837031,0,0
177,0.08392,0,0
178,0.0833926,0,0
179,0.0841779,0,0
180,0.083702,0,0
