Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
249,0.0550249,0,0
250,0.060987,0.0047839,0.0209565
251,0.0561793,0,0
252,0.0558844,0,0
253,0.0615487,0,0
254,0.0599196,0,0
255,0.0559709,0,0
256,0.0565072,0,0
257,0.0574075,0,0
258,0.0555234,0,0
259,0.0553638,0,0
260,0.0609052,0.0040532,0.0213706
261,0.0553459,0,0
262,0.0555181,0,0
263,0.0559926,0,0
264,0.0554336,0,0
265,0.0554244,0,0
266,0.0557627,0,0
267,0.0561568,0,0
268,0.0555983,0,0
269,0.0553876,0,0
270,0.0658771,0.0050865,0.0213339
271,0.0565475,0,0
272,0.0555597,0,0
273,0.0570984,0,0
274,0.0569682,0,0
275,0.0586522,0,0
276,0.0553667,0,0
277,0.0553855,0,0
278,0.0552941,0,0
279,0.0555421,0,0
280,0.0589202,0.0040898,0.020309
281,0.0561365,0,0
282,0.0553281,0,0
283,0.0577916,0,0
284,0.0562476,0,0
285,0.0560084,0,0
286,0.0556321,0,0
287,0.0553002,0,0
288,0.0555668,0,0
289,0.0555881,0,0
290,0.0598359,0.00417,0.0214672
291,0.0571945,0,0
292,0.0556722,0,0
293,0.0556303,0,0
294,0.0557977,0,0
295,0.0554419,0,0
296,0.0553008,0,0
297,0.0559224,0,0
298,0.055519,0,0
299,0.0578131,0,0
300,0.0610729,0.0040178,0.0211756
301,0.0568279,0,0
302,0.0555534,0,0
303,0.0554677,0,0
304,0.0572118,0,0
305,0.057677,0,0
306,0.0551604,0,0
307,0.055914,0,0
308,0.0553896,0,0
309,0.0555961,0,0
310,0.0605808,0.0056296,0.0207089
311,0.0562035,0,0
312,0.0553382,0,0
313,0.0553078,0,0
314,0.055725,0,0
315,0.0557839,0,0
316,0.0556493,0,0
317,0.0557508,0,0
318,0.0561363,0,0
319,0.0554297,0,0
320,0.060714,0.0041458,0.0201649
321,0.0570552,0,0
322,0.0553506,0,0
323,0.055591,0,0
324,0.0555565,0,0
325,0.0567344,0,0
326,0.0553969,0,0
327,0.0579665,0,0
328,0.0558986,0,0
329,0.0556855,0,0
330,0.0642727,0.00398,0.0208693
331,0.0564448,0,0
332,0.0553928,0,0
333,0.0556114,0,0
334,0.0555114,0,0
335,0.0574225,0,0
336,0.0554412,0,0
337,0.0553129,0,0
338,0.0561835,0,0
339,0.0587444,0,0
340,0.0601611,0.0041985,0.0203358
341,0.0570974,0,0
342,0.0568651,0,0
343,0.055512,0,0
344,0.0566583,0,0
345,0.0554522,0,0
346,0.0550824,0,0
347,0.0555523,0,0
348,0.0556183,0,0
349,0.0553642,0,0
350,0.0602896,0.0055199,0.0207929
351,0.0559389,0,0
352,0.0579257,0,0
353,0.0563478,0,0
354,0.0552044,0,0
355,0.0606766,0,0
356,0.0553322,0,0
357,0.055497,0,0
358,0.0609172,0,0
359,0.0555578,0,0
360,0.0621397,0.0058655,0.0208428
361,0.0569613,0,0
362,0.0553743,0,0
363,0.055678,0,0
364,0.0555783,0,0
365,0.0562114,0,0
366,0.0554623,0,0
367,0.0554875,0,0
368,0.055416,0,0
369,0.0558742,0,0
370,0.0598339,0.004169,0.020414
371,0.0577681,0,0
372,0.0556299,0,0
373,0.0555059,0,0
