Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.421738,0.0334303,0.0222544
1,0.421898,0,0
2,0.414185,0,0
3,0.418022,0,0
4,0.408476,0,0
5,0.412798,0,0
6,0.410954,0,0
7,0.41057,0,0
8,0.410451,0,0
9,0.407622,0,0
10,0.424913,0.0326338,0.0211426
11,0.422265,0,0
12,0.416072,0,0
13,0.415359,0,0
14,0.414194,0,0
15,0.412635,0,0
16,0.412323,0,0
17,0.416721,0,0
18,0.417671,0,0
19,0.414941,0,0
20,0.422261,0.0333497,0.0221495
21,0.422269,0,0
22,0.414786,0,0
23,0.415797,0,0
24,0.414855,0,0
25,0.422348,0,0
26,0.416345,0,0
27,0.417044,0,0
28,0.416781,0,0
29,0.416421,0,0
30,0.423244,0.0326893,0.0228262
31,0.421745,0,0
32,0.410879,0,0
33,0.408729,0,0
34,0.412964,0,0
35,0.411914,0,0
36,0.411304,0,0
37,0.410273,0,0
38,0.410958,0,0
39,0.412439,0,0
40,0.42257,0.0325559,0.0232188
41,0.421727,0,0
42,0.414443,0,0
43,0.414275,0,0
44,0.412917,0,0
45,0.412973,0,0
46,0.415613,0,0
47,0.415224,0,0
48,0.416444,0,0
49,0.412817,0,0
50,0.423089,0.0325971,0.0233249
51,0.421835,0,0
52,0.41099,0,0
53,0.41121,0,0
54,0.408887,0,0
55,0.408966,0,0
56,0.410738,0,0
57,0.413968,0,0
58,0.412928,0,0
59,0.409789,0,0
60,0.427147,0.0333475,0.0211446
61,0.418005,0,0
62,0.408594,0,0
63,0.408588,0,0
64,0.40734,0,0
65,0.404682,0,0
66,0.402711,0,0
67,0.408507,0,0
68,0.405707,0,0
69,0.405327,0,0
70,0.425041,0.0327682,0.0214386
71,0.422474,0,0
72,0.408969,0,0
73,0.408898,0,0
74,0.405942,0,0
75,0.412158,0,0
76,0.406273,0,0
77,0.409198,0,0
78,0.409776,0,0
79,0.411357,0,0
80,0.420238,0.0320595,0.022526
81,0.418215,0,0
82,0.409024,0,0
83,0.407473,0,0
84,0.405363,0,0
85,0.407146,0,0
86,0.407954,0,0
87,0.402269,0,0
88,0.404487,0,0
89,0.406584,0,0
90,0.425296,0.0320347,0.0213477
91,0.439232,0,0
92,0.414349,0,0
93,0.410394,0,0
94,0.407488,0,0
95,0.407899,0,0
96,0.409863,0,0
97,0.407889,0,0
98,0.40317,0,0
99,0.407656,0,0
100,0.423991,0.0330794,0.0216366
101,0.431715,0,0
102,0.41496,0,0
103,0.406287,0,0
104,0.405443,0,0
105,0.412532,0,0
106,0.410782,0,0
107,0.406523,0,0
108,0.410011,0,0
109,0.408191,0,0
110,0.424186,0.0322011,0.0217638
111,0.422852,0,0
112,0.413057,0,0
113,0.41177,0,0
114,0.415556,0,0
115,0.409048,0,0
116,0.409228,0,0
117,0.41435,0,0
118,0.411454,0,0
119,0.411674,0,0
120,0.424238,0.0329566,0.0236027
121,0.424122,0,0
122,0.423673,0,0
123,0.423762,0,0
124,0.423308,0,0
125,0.422904,0,0
126,0.413409,0,0
127,0.417145,0,0
128,0.419876,0,0
129,0.42203,0,0
130,0.425551,0.0334862,0.021785
131,0.422623,0,0
132,0.416314,0,0
133,0.415754,0,0
134,0.41132,0,0
135,0.413314,0,0
136,0.413273,0,0
137,0.409247,0,0
138,0.414466,0,0
139,0.413419,0,0
140,0.42646,0.0333581,0.0218094
141,0.4184,0,0
142,0.410817,0,0
143,0.413115,0,0
