Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.198819,0.0174972,0.0215111
1,0.199568,0,0
2,0.198862,0,0
3,0.19821,0,0
4,0.196832,0,0
5,0.193881,0,0
6,0.19524,0,0
7,0.192294,0,0
8,0.195495,0,0
9,0.195545,0,0
10,0.199171,0.0173037,0.0220295
11,0.201054,0,0
12,0.199215,0,0
13,0.197856,0,0
14,0.195504,0,0
15,0.194221,0,0
16,0.194001,0,0
17,0.195753,0,0
18,0.195136,0,0
19,0.194645,0,0
20,0.199087,0.0167013,0.0226566
21,0.199221,0,0
22,0.200132,0,0
23,0.202335,0,0
24,0.197236,0,0
25,0.195927,0,0
26,0.196514,0,0
27,0.19475,0,0
28,0.196421,0,0
29,0.199109,0,0
30,0.197527,0.0175974,0.0212671
31,0.201197,0,0
32,0.19882,0,0
33,0.202205,0,0
34,0.196667,0,0
35,0.195564,0,0
36,0.195726,0,0
37,0.198473,0,0
38,0.19838,0,0
39,0.199028,0,0
40,0.19905,0.0176311,0.0213806
41,0.22092,0,0
42,0.254443,0,0
43,0.198562,0,0
44,0.199056,0,0
45,0.197645,0,0
46,0.196702,0,0
47,0.197377,0,0
48,0.194153,0,0
49,0.195966,0,0
50,0.197097,0.0175726,0.022055
51,0.200751,0,0
52,0.199178,0,0
53,0.195293,0,0
54,0.195358,0,0
55,0.196059,0,0
56,0.20196,0,0
57,0.199286,0,0
58,0.199016,0,0
59,0.198886,0,0
60,0.19944,0.0176087,0.0212977
61,0.207435,0,0
62,0.199269,0,0
63,0.216843,0,0
64,0.249618,0,0
65,0.198584,0,0
66,0.198806,0,0
67,0.198697,0,0
68,0.199039,0,0
69,0.197169,0,0
70,0.198333,0.0175181,0.0211618
71,0.200288,0,0
72,0.198574,0,0
73,0.199431,0,0
74,0.215895,0,0
75,0.249542,0,0
76,0.19833,0,0
77,0.198287,0,0
78,0.197661,0,0
79,0.198592,0,0
80,0.19868,0.0175875,0.0219008
81,0.200802,0,0
82,0.198875,0,0
83,0.198772,0,0
84,0.197169,0,0
85,0.19589,0,0
86,0.194521,0,0
87,0.195949,0,0
88,0.20146,0,0
89,0.199539,0,0
90,0.199088,0.0176604,0.0209984
91,0.199773,0,0
92,0.199451,0,0
93,0.198784,0,0
94,0.19864,0,0
95,0.198896,0,0
96,0.198775,0,0
97,0.196197,0,0
98,0.195013,0,0
99,0.196196,0,0
100,0.1983,0.0172663,0.022509
101,0.199152,0,0
102,0.19894,0,0
103,0.198081,0,0
104,0.195879,0,0
105,0.195709,0,0
106,0.194237,0,0
107,0.192338,0,0
108,0.19541,0,0
109,0.1945,0,0
110,0.198154,0.0173782,0.0236333
111,0.209409,0,0
112,0.200018,0,0
113,0.199187,0,0
114,0.198446,0,0
115,0.196317,0,0
116,0.193661,0,0
117,0.193717,0,0
118,0.195214,0,0
119,0.19649,0,0
120,0.197582,0.0172416,0.0228619
121,0.197581,0,0
122,0.20027,0,0
123,0.198483,0,0
124,0.196554,0,0
125,0.195404,0,0
126,0.201362,0,0
127,0.19972,0,0
128,0.199466,0,0
129,0.19996,0,0
130,0.198765,0.0176235,0.0216212
131,0.200417,0,0
132,0.217602,0,0
133,0.198649,0,0
134,0.198717,0,0
135,0.196623,0,0
136,0.196839,0,0
137,0.195872,0,0
138,0.198418,0,0
139,0.198642,0,0
140,0.199413,0.0177014,0.0219654
141,0.201104,0,0
142,0.199488,0,0
143,0.199864,0,0
144,0.200124,0,0
145,0.199352,0,0
146,0.199073,0,0
147,0.198695,0,0
148,0.19881,0,0
149,0.198342,0,0
