Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.0832715,0.0082534,0.0226648
1,0.0765132,0,0
2,0.0784705,0,0
3,0.0820465,0,0
4,0.0841727,0,0
5,0.0844033,0,0
6,0.0788209,0,0
7,0.0832677,0,0
8,0.0787082,0,0
9,0.0827793,0,0
10,0.0852074,0.0080087,0.0215202
11,0.0831084,0,0
12,0.0785378,0,0
13,0.0835627,0,0
14,0.0824251,0,0
15,0.0833817,0,0
16,0.0765679,0,0
17,0.0830024,0,0
18,0.0854577,0,0
19,0.0861015,0,0
20,0.0862276,0.0079759,0.0245238
21,0.0857654,0,0
22,0.0857924,0,0
23,0.0851849,0,0
24,0.0856377,0,0
25,0.0837603,0,0
26,0.084603,0,0
27,0.0759325,0,0
28,0.0805668,0,0
29,0.0783512,0,0
30,0.0826951,0.0080369,0.0215957
31,0.0891924,0,0
32,0.0863584,0,0
33,0.0856496,0,0
34,0.086282,0,0
35,0.08608,0,0
36,0.0851574,0,0
37,0.087137,0,0
38,0.0863683,0,0
39,0.0837744,0,0
40,0.0849643,0.0069276,0.0228899
41,0.0816591,0,0
42,0.0841801,0,0
43,0.0841291,0,0
44,0.0903017,0,0
45,0.0857299,0,0
46,0.0857145,0,0
47,0.0854885,0,0
48,0.0864664,0,0
49,0.090548,0,0
50,0.0854277,0.0056837,0.0209064
51,0.0836993,0,0
52,0.0743217,0,0
53,0.0832328,0,0
54,0.0783134,0,0
55,0.0838164,0,0
56,0.0748129,0,0
57,0.0836614,0,0
58,0.0777513,0,0
59,0.0825324,0,0
60,0.0831162,0.0060263,0.0215322
61,0.0817602,0,0
62,0.0818585,0,0
63,0.0830462,0,0
64,0.0743689,0,0
65,0.0770826,0,0
66,0.0828252,0,0
67,0.0846257,0,0
68,0.0807858,0,0
69,0.0836689,0,0
70,0.0838941,0.00800551,0.0229697
71,0.0777137,0,0
72,0.0826981,0,0
73,0.0837184,0,0
74,0.08335,0,0
75,0.0823122,0,0
76,0.0781056,0,0
77,0.0816901,0,0
78,0.0772856,0,0
79,0.0768068,0,0
80,0.0834587,0.0044476,0.021667
81,0.0810648,0,0
82,0.0845072,0,0
83,0.0820592,0,0
84,0.0832461,0,0
85,0.0830472,0,0
86,0.0852263,0,0
87,0.0834169,0,0
88,0.0840495,0,0
89,0.0810502,0,0
90,0.0830225,0.00802601,0.0217269
91,0.0813833,0,0
92,0.0832637,0,0
93,0.0789156,0,0
94,0.0778828,0,0
95,0.0842521,0,0
96,0.0840792,0,0
97,0.077352,0,0
98,0.080729,0,0
99,0.0763641,0,0
100,0.0854294,0.00746821,0.0214607
101,0.0858746,0,0
102,0.08424,0,0
103,0.0798874,0,0
104,0.079465,0,0
105,0.084442,0,0
106,0.084369,0,0
107,0.0819351,0,0
108,0.0845497,0,0
109,0.0842257,0,0
110,0.0859999,0.00783711,0.022813
111,0.0831191,0,0
112,0.0837561,0,0
113,0.0814808,0,0
114,0.0783303,0,0
115,0.0826658,0,0
116,0.0797879,0,0
117,0.0777008,0,0
118,0.0769533,0,0
119,0.0831649,0,0
120,0.0818047,0.0073462,0.0218219
121,0.0790944,0,0
122,0.0855874,0,0
123,0.082465,0,0
124,0.0836034,0,0
125,0.0802979,0,0
126,0.0835074,0,0
127,0.0816487,0,0
128,0.0783704,0,0
129,0.0775671,0,0
130,0.0849012,0.0078262,0.0224927
131,0.0799829,0,0
132,0.0847296,0,0
133,0.0805983,0,0
134,0.078754,0,0
135,0.0816452,0,0
136,0.0822736,0,0
137,0.0824665,0,0
138,0.0850976,0,0
139,0.0807491,0,0
140,0.0832205,0.0080214,0.0214934
141,0.0832355,0,0
142,0.0829836,0,0
143,0.08479,0,0
144,0.0825351,0,0
145,0.0844847,0,0
146,0.0853791,0,0
147,0.0828661,0,0
148,0.0811529,0,0
149,0.0794637,0,0
150,0.0835691,0.0063643,0.0216272
151,0.0760293,0,0
152,0.0786483,0,0
153,0.0800897,0,0
154,0.0832673,0,0
155,0.0838328,0,0
156,0.0850216,0,0
157,0.0823495,0,0
158,0.0834953,0,0
159,0.0845418,0,0
160,0.0841388,0.0056406,0.0219834
161,0.0853522,0,0
162,0.0772716,0,0
163,0.0828988,0,0
164,0.081513,0,0
165,0.0847636,0,0
166,0.0815605,0,0
167,0.0821069,0,0
168,0.0780872,0,0
169,0.0843307,0,0
170,0.0827577,0.0054888,0.0220221
171,0.0786525,0,0
172,0.0781353,0,0
173,0.0753662,0,0
174,0.0821253,0,0
175,0.0784092,0,0
176,0.0774478,0,0
177,0.0830953,0,0
178,0.0842452,0,0
179,0.0809666,0,0
180,0.0840124,0.0074549,0.0221063
181,0.0833459,0,0
182,0.0761262,0,0
183,0.0794605,0,0
184,0.0787762,0,0
185,0.077909,0,0
186,0.0809944,0,0
187,0.0836749,0,0
188,0.0837403,0,0
189,0.0832449,0,0
190,0.0827558,0.0080293,0.0216948
191,0.0817337,0,0
192,0.0757451,0,0
193,0.0822531,0,0
194,0.0831298,0,0
195,0.0790133,0,0
196,0.0822856,0,0
197,0.0765528,0,0
198,0.0750234,0,0
199,0.0808391,0,0
200,0.084431,0.0080084,0.0212833
201,0.0829153,0,0
202,0.0831447,0,0
203,0.0779448,0,0
204,0.0704469,0,0
205,0.085621,0,0
206,0.0826365,0,0
