Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.110534,0.0089932,0.0234249
1,0.106801,0,0
2,0.106541,0,0
3,0.112657,0,0
4,0.115117,0,0
5,0.141266,0,0
6,0.133395,0,0
7,0.109927,0,0
8,0.130678,0,0
9,0.108213,0,0
10,0.130622,0.0118008,0.0235289
11,0.122287,0,0
12,0.117422,0,0
13,0.119153,0,0
14,0.12226,0,0
15,0.142834,0,0
16,0.12306,0,0
17,0.106724,0,0
18,0.106868,0,0
19,0.106683,0,0
20,0.129247,0.00875923,0.0212662
21,0.132783,0,0
22,0.106394,0,0
23,0.105852,0,0
24,0.112536,0,0
25,0.10646,0,0
26,0.105966,0,0
27,0.105574,0,0
28,0.106274,0,0
29,0.106117,0,0
30,0.133548,0.00885833,0.0219908
31,0.142408,0,0
32,0.130662,0,0
33,0.106745,0,0
34,0.10594,0,0
35,0.106152,0,0
36,0.106569,0,0
37,0.106993,0,0
38,0.107025,0,0
39,0.106177,0,0
40,0.106894,0.00884643,0.0225046
41,0.106583,0,0
42,0.106647,0,0
43,0.106544,0,0
44,0.106672,0,0
45,0.106453,0,0
46,0.106775,0,0
47,0.10557,0,0
48,0.128223,0,0
49,0.106748,0,0
50,0.10755,0.00886763,0.0218829
51,0.106507,0,0
52,0.105683,0,0
53,0.106214,0,0
54,0.113366,0,0
55,0.107971,0,0
56,0.106424,0,0
57,0.106728,0,0
58,0.106273,0,0
59,0.106593,0,0
60,0.122845,0.0093038,0.0214733
61,0.106438,0,0
62,0.106302,0,0
63,0.106523,0,0
64,0.106277,0,0
65,0.108894,0,0
66,0.106682,0,0
67,0.106575,0,0
68,0.115957,0,0
69,0.106216,0,0
70,0.106622,0.0087276,0.0221355
71,0.120988,0,0
72,0.106609,0,0
73,0.106581,0,0
74,0.106275,0,0
75,0.107562,0,0
76,0.106676,0,0
77,0.10626,0,0
78,0.105688,0,0
79,0.106732,0,0
80,0.107743,0.0088396,0.0215034
81,0.107291,0,0
82,0.114328,0,0
83,0.112084,0,0
84,0.106588,0,0
85,0.114386,0,0
86,0.11806,0,0
87,0.133087,0,0
88,0.10719,0,0
89,0.107007,0,0
90,0.120399,0.0088399,0.0228255
91,0.109126,0,0
92,0.106575,0,0
93,0.106352,0,0
94,0.120667,0,0
95,0.106826,0,0
96,0.106728,0,0
97,0.110241,0,0
98,0.106565,0,0
99,0.106977,0,0
100,0.110525,0.008955,0.0218211
101,0.107045,0,0
102,0.106561,0,0
103,0.109607,0,0
104,0.109725,0,0
105,0.106615,0,0
106,0.106412,0,0
107,0.106367,0,0
108,0.113423,0,0
109,0.106291,0,0
110,0.11572,0.0088614,0.0216586
111,0.106641,0,0
112,0.107025,0,0
113,0.106813,0,0
114,0.106774,0,0
115,0.123987,0,0
116,0.106544,0,0
117,0.106788,0,0
118,0.126327,0,0
119,0.106798,0,0
120,0.124545,0.0087491,0.0224128
121,0.117178,0,0
122,0.132032,0,0
123,0.116054,0,0
124,0.106344,0,0
125,0.117296,0,0
126,0.133045,0,0
127,0.106383,0,0
128,0.118691,0,0
129,0.133227,0,0
130,0.117922,0.0088121,0.0229262
131,0.13211,0,0
132,0.111858,0,0
133,0.132679,0,0
134,0.106299,0,0
135,0.106465,0,0
136,0.107757,0,0
137,0.106478,0,0
138,0.117548,0,0
139,0.132681,0,0
140,0.132705,0.0088032,0.0224732
141,0.106317,0,0
142,0.106177,0,0
143,0.106688,0,0
144,0.106412,0,0
145,0.106531,0,0
146,0.116737,0,0
147,0.13676,0,0
148,0.132397,0,0
149,0.106284,0,0
150,0.106974,0.0088674,0.0218282
151,0.106477,0,0
152,0.106615,0,0
153,0.106516,0,0
154,0.106458,0,0
155,0.106682,0,0
156,0.106652,0,0
157,0.127204,0,0
158,0.105542,0,0
159,0.107016,0,0
160,0.10806,0.0088648,0.0221282
161,0.116454,0,0
162,0.131188,0,0
163,0.105668,0,0
164,0.106871,0,0
165,0.106487,0,0
166,0.119966,0,0
167,0.106312,0,0
