19244622,5429,86168,0,140,106,0,0,0
19244623,93,386,0,153,250,1,1,1986
19244624,2461,1391,0,76,301,1,2,1987
19244625,2991,1386,0,76,301,1,1,1986
19244626,2851,656,0,60,166,1,1,1961
19244627,5980,934,0,128,71,1,1,1995
19244628,3132,577,0,168,321,0,0,0
19244629,2281,505,0,168,321,0,0,0
19244630,3465,1427,0,229,324,0,0,0
19244631,3873,1421,0,229,324,0,0,0
19244635,678,1401,0,623,94,1,1,1987
19244632,4253,1998,0,39,87,0,0,0
19244633,5041,1393,0,229,324,0,0,0
19244634,3455,2160,0,284,340,0,0,0
19244636,1982,336,0,127,94,1,1,1992
19244638,668,339,0,451,449,1,1,1974
19244637,4043,468,0,231,295,1,1,1994
19244639,3581,192,0,332,349,1,2,1991
19244640,3861,397,0,240,303,1,2,1992
19244642,4013,1074,0,260,503,1,1,1993
19244644,3588,371,0,320,241,1,1,1991
19244645,6070,714,0,227,330,0,0,0
19244646,5005,878,0,268,334,1,1,1994
19244647,4065,1774,0,210,226,0,0,0
19244648,6178,387,0,173,176,1,1,1994
19244649,5182,697,0,227,330,0,0,0
19244650,3651,1728,0,45,283,0,0,0
19244651,795,1749,0,45,283,0,0,0
19244652,5140,4058,0,85,85,0,0,0
19244654,3693,1050,0,338,33,1,1,1994
19244653,6430,943,0,76,80,1,1,1972
19244655,4676,1682,0,177,177,0,2,1999
19244656,4524,1649,0,177,177,0,2,1999
19244657,3926,720,0,312,227,1,2,1990
19244658,2540,1029,0,156,325,0,0,0
19244659,2516,3718,0,85,85,0,0,0
19244660,443,1140,0,331,163,1,1,1989
19244661,5733,1154,0,331,163,1,2,1984
19244664,3649,1696,0,623,176,0,1,1995
19244662,4892,659,0,4,150,1,2,1995
19244663,4141,659,0,4,150,1,1,1991
19244666,1132,911,0,120,148,1,1,1996
19244665,1834,647,0,4,150,1,1,1992
19244668,727,717,0,39,168,1,1,1989
19244669,5007,661,0,4,150,1,1,1993
19244670,5737,1070,0,120,148,1,2,1998
19244674,4670,1657,0,137,137,0,0,0
19244673,1687,890,0,120,148,1,2,1997
19244672,3407,641,0,4,150,1,1,1995
19244675,1176,3805,0,85,85,0,0,0
19244676,476,862,0,120,148,1,1,1998
19244677,2649,576,0,291,28,1,1,1987
19244678,5798,3428,0,45,162,0,0,0
19244679,1052,1573,0,137,137,0,0,0
19244680,3978,3411,0,45,162,0,0,0
19244681,349,63,0,90,90,1,1,1992
19244682,4086,1568,0,137,137,0,0,0
19244683,534,1791,0,90,94,0,0,0
19244684,4366,1790,0,90,94,0,0,0
19244685,1450,1404,0,90,126,1,1,1991
19244686,5652,402,0,289,313,1,1,1986
19244687,4242,551,0,359,337,1,1,1986
19244688,866,1036,0,90,85,1,1,1992
19244689,2051,1093,0,45,199,0,0,0
19244690,6178,1219,0,176,304,1,1,1979
19244691,1695,1486,0,90,268,0,0,0
19244692,2419,1347,0,90,126,0,0,0
19244693,5347,783,0,114,300,1,1,1995
19244694,2866,1072,0,45,199,0,0,0
19244696,6008,476,0,298,347,1,1,1991
19244695,3109,817,0,47,112,1,1,1982
19244697,1637,754,0,84,24,1,1,1990
19244698,3424,1293,0,240,453,1,1,1983
19244699,4306,1333,0,90,126,0,0,0
19244700,3323,46506,0,303,329,0,0,0
19244701,1839,457,0,298,347,1,2,1990
19244702,5813,662,0,24,133,0,1,1984
19244704,5671,610,0,299,293,1,1,1990
19244703,3752,3645,0,255,345,0,0,0
19244705,5837,1612,0,37,16,1,1,1989
19244706,5706,3410,0,85,85,0,0,0
19244707,4283,3625,0,85,85,0,0,0
19244708,4490,700,0,113,94,1,1,1992
19244709,900,598,0,338,168,0,0,0
19244710,1796,433,0,90,99,1,1,1985
19244711,3581,363,0,349,225,1,1,1985
19244712,658,404,0,85,176,1,1,1990
19244713,2646,454,0,627,54,1,1,1986
19244714,1181,960,0,52,255,1,2,1986
19244715,6088,436,0,289,180,1,1,1992
19244716,4044,410,0,90,196,0,0,0
19244717,6266,1209,0,117,325,0,0,0
19244718,1642,259,0,81,264,1,1,1989
19244719,3188,863,0,133,128,1,1,1989
19244720,4447,474,0,22,15,1,1,1981
19244721,4585,768,0,4,62,0,1,1980
19244722,2311,865,0,52,255,1,2,1986
19244723,5824,459,0,22,15,1,1,1981
19244726,311,399,0,510,622,1,2,1988
19244727,6429,2201,0,459,268,1,1,1978
19244728,3545,366,0,175,98,1,1,1980
19244730,6073,681,0,4,62,0,2,1984
19244731,520,345,0,175,98,1,2,1986
19244732,2649,989,0,28,114,1,1,1987
19244733,93,245,0,250,154,1,1,1986
19244734,4075,147,0,123,259,1,1,1982
19244735,158,1275,0,291,80,1,1,1985
19244736,5669,357,0,74,53,1,1,1976
19244737,19,379,0,67,144,1,1,1993
19244738,5385,1255,0,626,167,0,0,0
19244739,3536,1251,0,626,167,0,0,0
19244740,6281,886,0,90,84,1,1,1989
19244741,2972,529,0,319,347,1,2,1993
19244742,4971,186,0,229,227,1,1,1990
19244743,3926,804,0,227,239,0,0,0
19244744,4356,540,0,35,35,0,0,0
19244745,4733,524,0,35,35,0,0,0
